Date, Open, High, Low, Close
15-07-20,3225.98,3238.28,3200.76,3226.56
14-07-20,3141.11,3200.95,3127.66,3197.52
13-07-20,3205.08,3235.32,3149.43,3155.22
10-07-20,3152.47,3186.82,3136.22,3185.04
09-07-20,3176.17,3179.78,3115.7,3152.05
08-07-20,3153.07,3171.8,3136.53,3169.94
07-07-20,3166.44,3184.15,3142.93,3145.32
06-07-20,3155.29,3182.59,3155.29,3179.72
02-07-20,3143.64,3165.81,3124.52,3130.01
01-07-20,3105.92,3128.44,3101.17,3115.86
30-06-20,3050.2,3111.51,3047.83,3100.29
29-06-20,3018.59,3053.89,2999.74,3053.24
26-06-20,3073.2,3073.73,3004.63,3009.05
25-06-20,3046.6,3086.25,3024.01,3083.76
24-06-20,3114.4,3115.01,3032.13,3050.33
23-06-20,3138.7,3154.9,3127.12,3131.29
22-06-20,3094.42,3120.92,3079.39,3117.86
19-06-20,3140.29,3155.53,3083.11,3097.74
18-06-20,3101.64,3120,3093.51,3115.34
17-06-20,3136.13,3141.16,3108.03,3113.49
16-06-20,3131,3153.45,3076.06,3124.74
15-06-20,2993.76,3079.76,2965.66,3066.59
12-06-20,3071.04,3088.42,2984.47,3041.31
11-06-20,3123.53,3123.53,2999.49,3002.1
10-06-20,3213.42,3223.27,3181.49,3190.14
09-06-20,3213.32,3222.71,3193.11,3207.18
08-06-20,3199.92,3233.13,3196,3232.39
05-06-20,3163.84,3211.72,3163.84,3193.93
04-06-20,3111.56,3128.91,3090.41,3112.35
03-06-20,3098.9,3130.94,3098.9,3122.87
02-06-20,3064.78,3081.07,3051.64,3080.82
01-06-20,3038.78,3062.18,3031.54,3055.73
29-05-20,3025.17,3049.17,2998.61,3044.31
28-05-20,3046.61,3068.67,3023.4,3029.73
27-05-20,3015.65,3036.25,2969.75,3036.13
26-05-20,3004.08,3021.72,2988.17,2991.77
22-05-20,2948.05,2956.76,2933.59,2955.45
21-05-20,2969.95,2978.5,2938.57,2948.51
20-05-20,2953.63,2980.29,2953.63,2971.61
19-05-20,2948.59,2964.21,2922.35,2922.94
18-05-20,2913.86,2968.09,2913.86,2953.91
15-05-20,2829.95,2865.01,2816.78,2863.7
14-05-20,2794.54,2852.8,2766.64,2852.5
13-05-20,2865.86,2874.14,2793.15,2820
12-05-20,2939.5,2945.82,2869.59,2870.12
11-05-20,2915.46,2944.25,2903.44,2930.32
08-05-20,2908.83,2932.16,2902.88,2929.8
07-05-20,2878.26,2901.92,2876.48,2881.19
